u,v,key,weighted_noise,predicted_noise,combined_noise
5887571966,5887571967,0,63.31231940225337,,63.31231940225337
5221431951,4726329537,0,65.0379119142531,,65.0379119142531
5221431951,9747460741,0,58.2245126231462,,58.2245126231462
5221431951,118768,0,64.92262461411082,,64.92262461411082
5887571930,5887604984,0,68.00430107535539,,68.00430107535539
5887571930,118768,0,67.42540936110757,,67.42540936110757
118769,18222738,0,63.9973942085566,,63.9973942085566
118769,4726329537,0,64.53534399128307,,64.53534399128307
118769,5845806145,0,59.69990230056999,,59.69990230056999
18222738,5845806145,0,63.99950327747571,,63.99950327747571
18222738,118769,0,63.9973942085566,,63.9973942085566
4726329537,118769,0,64.53534399128309,,64.53534399128309
4726329537,5221431951,0,65.0379119142531,,65.0379119142531
4726329537,5887571967,0,63.6618641496092,,63.6618641496092
5845806145,18222738,0,63.99950327747571,,63.99950327747571
5845806145,1586916024,0,64.18775290229415,,64.18775290229415
5845806145,118769,0,59.699902300569995,,59.699902300569995
118773,1420336522,0,69.0,,69.0
118773,1052455428,0,69.0,,69.0
1420336522,6651812226,0,69.0,,69.0
1420336522,1055200733,0,69.0,,69.0
118779,5706462979,0,69.0,,69.0
118779,118780,0,69.0,,69.0
5706462979,5706462980,0,69.0,,69.0
5706462979,1052770943,0,69.0,,69.0
5706462979,5706462978,0,69.0,,69.0
118780,18227471,0,69.0,,69.0
18227471,18227470,0,69.0,,69.0
18227471,7206346840,0,69.0,,69.0
118781,118787,0,69.0,,69.0
118781,118792,0,69.0,,69.0
118781,1555492641,0,69.0,,69.0
118787,118781,0,69.0,,69.0
118787,274394389,0,68.79377838390974,,68.79377838390974
118787,8919786,0,69.0,,69.0
118792,118806,0,69.0,,69.0
118792,274068932,0,69.0,,69.0
1555492641,118783,0,68.96342453225651,,68.96342453225651
1555492641,1555492657,0,69.0,,69.0
1555492641,118781,0,69.0,,69.0
118783,118784,0,68.5373073153645,,68.5373073153645
118783,1555492647,0,68.78415523591063,,68.78415523591063
118783,1555492641,0,68.96342453225651,,68.96342453225651
118784,118783,0,68.5373073153645,,68.5373073153645
118784,289167874,0,68.57207511343037,,68.57207511343037
118784,5930921296,0,68.158328685945,,68.158328685945
1555492647,118783,0,68.78415523591062,,68.78415523591062
1555492647,1555693141,0,68.71606902272299,,68.71606902272299
1555492647,1555492649,0,68.61922750082881,,68.61922750082881
289167874,118784,0,68.57207511343036,,68.57207511343036
5930921296,1555492653,0,68.51368514255586,,68.51368514255586
5930921296,118784,0,68.158328685945,,68.158328685945
5930921296,1555693141,0,68.5904569619459,,68.5904569619459
274394389,118787,0,68.79377838390974,,68.79377838390974
274394389,5725044695,0,68.21315676747976,,68.21315676747976
274394389,274394353,0,68.45406286859784,,68.45406286859784
8919786,274394353,0,68.84591119281113,,68.84591119281113
8919786,5394379177,0,69.0,,69.0
8919786,26212051,0,69.0,,69.0
118806,118792,0,69.0,,69.0
118806,4174194264,0,69.0,,69.0
118806,6296200450,0,69.0,,69.0
274068932,274068961,0,63.56275630304587,,63.56275630304587
274068932,107456766,0,68.62769201103202,,68.62769201103202
4174194264,8485467329,0,68.97680094274153,,68.97680094274153
4174194264,4174194263,0,68.76364010333569,,68.76364010333569
4174194264,118806,0,69.0,,69.0
6296200450,10027835739,0,69.0,,69.0
6296200450,118787,0,68.97911221918201,,68.97911221918201
118807,118806,0,69.0,,69.0
118819,543377690,0,68.42475766187533,,68.42475766187533
543377690,25508620,0,63.627584922403216,,63.627584922403216
543377690,118819,0,68.42475766187535,,68.42475766187535
543377690,543377694,0,64.282897390849,,64.282897390849
118824,2205997340,0,68.99318807247305,,68.99318807247305
2205997340,2205997347,0,68.90914918337008,,68.90914918337008
2205997340,411806240,0,68.99532651738043,,68.99532651738043
118848,9821947420,0,69.0,,69.0
118848,9712365647,0,69.0,,69.0
9821947420,9821947421,0,69.0,,69.0
9821947420,4927543936,0,68.99967504807958,,68.99967504807958
9712365647,118854,0,69.0,,69.0
9712365647,411806240,0,69.0,,69.0
118854,411806235,0,69.0,,69.0
118854,566129941,0,67.90678138646473,,67.90678138646473
411806235,411806240,0,69.0,,69.0
566129941,9821947430,0,64.30026910846453,,64.30026910846453
566129941,566129947,0,64.33885494701588,,64.33885494701588
566129941,9658154682,0,63.454081259735894,,63.454081259735894
118866,3379557973,0,68.81457688280508,,68.81457688280508
118866,11047105430,0,68.7956854624875,,68.7956854624875
3379557973,618819473,0,60.9881088236427,,60.9881088236427
3379557973,8441650297,0,68.82868182268155,,68.82868182268155
11047105430,11047105434,0,68.69362638018454,,68.69362638018454
11047105430,11047105431,0,68.33269539453813,,68.33269539453813
11047105430,118866,0,68.79568546248748,,68.79568546248748
118868,8657032180,0,66.64222359044011,,66.64222359044011
118868,606927508,0,64.37188934575462,,64.37188934575462
118868,8893397597,0,68.87777306756118,,68.87777306756118
118868,8657032176,0,68.86854558713902,,68.86854558713902
8657032180,318308896,0,63.0459677969111,,63.0459677969111
8657032180,11047105444,0,60.974851148893165,,60.974851148893165
8657032180,118868,0,66.64222359044011,,66.64222359044011
606927508,619149351,0,59.292421952116634,,59.292421952116634
606927508,118868,0,64.37188934575462,,64.37188934575462
606927508,618600671,0,54.23783755461771,,54.23783755461771
606927508,619178356,0,55.64066263299458,,55.64066263299458
8893397597,247737948,0,68.80509561452016,,68.80509561452016
8893397597,118868,0,68.8777730675612,,68.8777730675612
8893397597,8893444772,0,66.8858090485235,,66.8858090485235
8657032176,8657032183,0,68.84943192284469,,68.84943192284469
8657032176,118868,0,68.86854558713904,,68.86854558713904
8657032176,8657032187,0,68.07966304283258,,68.07966304283258
118869,1801254752,0,68.9769827964802,,68.9769827964802
118869,3605584142,0,67.64384605064458,,67.64384605064458
1801254752,9893481623,0,68.9780040180178,,68.9780040180178
1801254752,9893481702,0,68.94149540225798,,68.94149540225798
3605584142,1801254737,0,67.35498459185067,,67.35498459185067
3605584142,1801254748,0,68.16261983886838,,68.16261983886838
118872,10043392923,0,68.82554487177029,,68.82554487177029
118872,1729562471,0,68.81051869652633,,68.81051869652633
10043392923,1619530781,0,68.79771762654485,,68.79771762654485
10043392923,118872,0,68.82554487177029,,68.82554487177029
10043392923,10043392918,0,62.01260452520877,,62.01260452520877
1729562471,1729562492,0,68.88888510679372,,68.88888510679372
1729562471,1619530805,0,68.82830883841388,,68.82830883841388
125401,782419343,0,69.0,,69.0
125401,257790049,0,61.416922906427075,,61.416922906427075
125401,527857404,0,68.98930235518587,,68.98930235518587
782419343,125401,0,69.0,,69.0
782419343,278784566,0,68.96376872449258,,68.96376872449258
257790049,8089417,0,60.79241481115641,,60.79241481115641
257790049,8089406,0,56.37794802454225,,56.37794802454225
257790049,125401,0,61.41692290642708,,61.41692290642708
527857404,6545701365,0,68.89838186624517,,68.89838186624517
527857404,3377116523,0,69.0,,69.0
125404,8491663724,0,68.94629319594912,,68.94629319594912
8491663724,6503269,0,68.99992296459907,,68.99992296459907
8491663724,10186215515,0,69.0,,69.0
125408,9197599042,0,68.64834155991247,,68.64834155991247
125408,9197599046,0,68.27062166247885,,68.27062166247885
9197599042,706815,0,68.57779931863976,,68.57779931863976
9197599042,9197599046,0,67.52872037510875,,67.52872037510875
9197599046,3763446865,0,66.73044586304303,,66.73044586304303
9197599046,125408,0,68.27062166247885,,68.27062166247885
9197599046,9197599042,0,67.52872037510876,,67.52872037510876
125409,20919946,0,68.78974783995393,,68.78974783995393
20919946,125408,0,68.62105870885874,,68.62105870885874
20919946,20919945,0,67.57654941982567,,67.57654941982567
125422,9962415716,0,69.0,,69.0
125422,9962452617,0,69.0,,69.0
9962415716,4929108074,0,69.0,,69.0
9962452617,4929108081,0,69.0,,69.0
9962452617,9962415716,0,69.0,,69.0
125423,5194778938,0,69.12043806288526,,69.12043806288526
125423,6465638890,0,64.7015679130855,,64.7015679130855
6465638890,6465638889,0,69.09866841226133,,69.09866841226133
6465638890,6465638888,0,69.03143127668682,,69.03143127668682
125427,1578270263,0,68.9972337998122,,68.9972337998122
125427,2119637700,0,68.85210032936916,,68.85210032936916
125427,20927562,0,68.43887507260597,,68.43887507260597
1578270263,1578270274,0,62.54403426985287,,62.54403426985287
1578270263,125427,0,68.9972337998122,,68.9972337998122
1578270263,20929952,0,68.99739009621725,,68.99739009621725
2119637700,2119637698,0,68.83479112025029,,68.83479112025029
2119637700,1673549468,0,68.82137799635426,,68.82137799635426
2119637700,1673549470,0,67.62799281072455,,67.62799281072455
20927562,4646072565,0,65.23434269198879,,65.23434269198879
20927562,125427,0,68.43887507260597,,68.43887507260597
20927562,5009890638,0,65.98715331410915,,65.98715331410915
125429,716767714,0,69.00444442449526,,69.00444442449526
125429,3790821714,0,68.93662442043842,,68.93662442043842
125429,3790821714,1,68.85345182794092,,68.85345182794092
716767714,7570731036,0,69.0,,69.0
716767714,7570731041,0,68.44895728488403,,68.44895728488403
3790821714,26013970,0,68.85954735148611,,68.85954735148611
125437,4519617500,0,69.0,,69.0
125437,7416620553,0,69.0,,69.0
4519617500,125437,0,69.0,,69.0
4519617500,4462423422,0,69.0,,69.0
4519617500,1394741617,0,68.97063925021895,,68.97063925021895
7416620553,4546353954,0,68.88032984220759,,68.88032984220759
7416620553,458733438,0,68.99693726211052,,68.99693726211052
125439,3634600838,0,69.0,,69.0
125439,1585537124,0,69.0,,69.0
125439,1054587374,0,65.42881717722344,,65.42881717722344
3634600838,125439,0,69.0,,69.0
3634600838,1418947936,0,69.0,,69.0
3634600838,3634600840,0,68.09796553846277,,68.09796553846277
1585537124,26490999,0,69.0,,69.0
1585537124,1585537156,0,62.119020063430355,,62.119020063430355
1585537124,125439,0,69.0,,69.0
1054587374,1054587426,0,54.81150622829613,,54.81150622829613
1054587374,26490991,0,56.38791154798125,,56.38791154798125
125442,3835639402,0,69.0,,69.0
125442,26237008,0,69.0,,69.0
125442,8483834545,0,69.0,,69.0
3835639402,125442,0,69.0,,69.0
3835639402,20839566,0,68.87685719637962,,68.87685719637962
3835639402,3835639366,0,69.01319676234903,,69.01319676234903
26237008,1411317213,0,67.80300431158015,,67.80300431158015
26237008,3835639495,0,69.0,,69.0
8483834545,8483834544,0,67.76501352477214,,67.76501352477214
8483834545,26237009,0,68.99601125020978,,68.99601125020978
8483834545,125442,0,69.0,,69.0
125444,4519617474,0,69.0,,69.0
125444,8091690,0,68.49660915089565,,68.49660915089565
125444,4519617475,0,69.06626557795776,,69.06626557795776
4519617474,125444,0,69.0,,69.0
4519617474,8108162988,0,68.9793567874349,,68.9793567874349
4519617474,3194407761,0,69.00458835776809,,69.00458835776809
8091690,5340564444,0,67.64470673615921,,67.64470673615921
8091690,26489349,0,67.43311357301482,,67.43311357301482
4519617475,1704109234,0,69.04552651583904,,69.04552651583904
125448,664688352,0,68.99069611482366,,68.99069611482366
125448,299587330,0,69.0,,69.0
664688352,1399432752,0,68.10442149238779,,68.10442149238779
664688352,279151074,0,68.82170951694937,,68.82170951694937
299587330,2583448442,0,69.0,,69.0
299587330,8078521,0,68.99984694114639,,68.99984694114639
125453,1472966286,0,69.0,,69.0
125453,3625328672,0,64.25346818014424,,64.25346818014424
125453,3180508467,0,69.0,,69.0
1472966286,125453,0,69.0,,69.0
1472966286,10776420,0,68.64460468201497,,68.64460468201497
1472966286,1472966176,0,69.0,,69.0
3625328672,3625328671,0,55.50418556960484,,55.50418556960484
3625328672,125453,0,64.25346818014424,,64.25346818014424
3625328672,3625328670,0,55.16360788904339,,55.16360788904339
3180508467,3180508464,0,69.0,,69.0
3180508467,72956501,0,68.99799615150029,,68.99799615150029
125457,3910340724,0,69.0,,69.0
125457,1607352156,0,68.98051906218213,,68.98051906218213
3910340724,7952259364,0,69.0,,69.0
3910340724,279376543,0,68.99723066503583,,68.99723066503583
1607352156,271649658,0,68.96290618184761,,68.96290618184761
1607352156,6167117698,0,65.20242510658827,,65.20242510658827
125460,278332790,0,61.651767611330655,,61.651767611330655
125460,278332427,0,69.0,,69.0
278332790,278332791,0,58.525617804033914,,58.525617804033914
278332790,278331768,0,63.686472477060825,,63.686472477060825
278332790,125460,0,61.65176761133065,,61.65176761133065
278332790,278332431,0,60.33188810428186,,60.33188810428186
278332427,249639208,0,69.0,,69.0
278332427,278332791,0,62.514187623177406,,62.514187623177406
375465,298538850,0,69.0,,69.0
375465,3676767770,0,69.0,,69.0
298538850,375465,0,69.0,,69.0
298538850,5680294242,0,68.91866031073447,,68.91866031073447
298538850,298548426,0,69.0,,69.0
3676767770,5680294246,0,69.0,,69.0
3676767770,375465,0,69.0,,69.0
3676767770,5490694557,0,69.0,,69.0
375466,2687461340,0,69.0,,69.0
375466,3676767774,0,69.0,,69.0
2687461340,3676767757,0,69.0,,69.0
2687461340,3676767767,0,68.98584464034485,,68.98584464034485
3676767774,8226667,0,69.0,,69.0
375471,298530862,0,69.0,,69.0
375471,7646343,0,68.44466719153561,,68.44466719153561
375471,375477,0,69.0,,69.0
298530862,375471,0,69.0,,69.0
298530862,1637594581,0,69.0,,69.0
298530862,1636228102,0,69.0,,69.0
7646343,7646341,0,63.588985607277,,63.588985607277
7646343,375471,0,68.44466719153563,,68.44466719153563
7646343,7456811606,0,67.27100728323947,,67.27100728323947
7646343,8120060,0,65.57127453042924,,65.57127453042924
375477,4538130321,0,68.7671057494111,,68.7671057494111
375477,706730052,0,69.0,,69.0
375477,24972347,0,69.0,,69.0
375473,277055380,0,69.0,,69.0
375473,4538130315,0,68.8624019120808,,68.8624019120808
375473,7646327,0,68.9977276705726,,68.9977276705726
277055380,375473,0,69.0,,69.0
277055380,1635698752,0,69.0,,69.0
277055380,1636236549,0,69.0,,69.0
4538130315,7646338,0,61.77336122239855,,61.77336122239855
4538130315,375473,0,68.86240191208078,,68.86240191208078
4538130315,4538130313,0,68.5729139259148,,68.5729139259148
7646327,8223460,0,69.0,,69.0
7646327,7646332,0,60.50612033737855,,60.50612033737855
4538130321,375477,0,68.76710574941109,,68.76710574941109
4538130321,4538130313,0,68.30114465952092,,68.30114465952092
4538130321,7646341,0,62.536842889086614,,62.536842889086614
706730052,24972347,0,69.0,,69.0
24972347,375473,0,69.0,,69.0
576709,20908369,0,58.335530150812446,,58.335530150812446
576709,1783390939,0,65.71954564320927,,65.71954564320927
576709,292486705,0,57.602777757684656,,57.602777757684656
576709,8579330032,0,64.97974517775816,,64.97974517775816
20908369,20908370,0,61.78313668410623,,61.78313668410623
20908369,20908378,0,62.46736396491034,,62.46736396491034
20908369,20908372,0,62.44238139774058,,62.44238139774058
20908369,576709,0,58.33553015081245,,58.33553015081245
1783390939,20908382,0,66.0576374695663,,66.0576374695663
1783390939,292485555,0,57.44211058969532,,57.44211058969532
1783390939,576709,0,65.71954564320927,,65.71954564320927
292486705,292487120,0,53.0,,53.0
292486705,20908366,0,53.0,,53.0
292486705,576709,0,57.60277775768466,,57.60277775768466
8579330032,18011399,0,64.7896299957716,,64.7896299957716
8579330032,576709,0,64.97974517775816,,64.97974517775816
8579330032,8579330034,0,60.163403501070576,,60.163403501070576
576713,3338571877,0,67.81943315667462,,67.81943315667462
576713,576717,0,68.98594795640888,,68.98594795640888
576713,1618849616,0,62.12766729980464,,62.12766729980464
576713,1557110196,0,69.0,,69.0
3338571877,3339256310,0,65.80654872962148,,65.80654872962148
3338571877,576713,0,67.81943315667462,,67.81943315667462
3338571877,3338571874,0,58.53758820804523,,58.53758820804523
576717,275620072,0,67.99255767215067,,67.99255767215067
576717,1468109621,0,66.00612489629734,,66.00612489629734
576717,1468090629,0,69.0,,69.0
576717,576713,0,68.98594795640889,,68.98594795640889
1618849616,275615788,0,53.0,,53.0
1618849616,275595911,0,53.0,,53.0
1618849616,576713,0,62.12766729980465,,62.12766729980465
1557110196,1614362080,0,69.0,,69.0
1557110196,576713,0,69.0,,69.0
1557110196,275595911,0,61.8764606957172,,61.8764606957172
275620072,94014490,0,63.297349593722366,,63.297349593722366
275620072,576717,0,67.99255767215067,,67.99255767215067
275620072,7031742422,0,57.89418569025729,,57.89418569025729
1468109621,1468109635,0,60.77522951765702,,60.77522951765702
1468109621,8911866647,0,59.050850260306206,,59.050850260306206
1468109621,576717,0,66.00612489629734,,66.00612489629734
1468090629,1468090777,0,68.53310412305868,,68.53310412305868
1468090629,576717,0,69.0,,69.0
1468090629,310478399,0,69.0,,69.0
576722,307305949,0,68.63586288257386,,68.63586288257386
576722,4279694303,0,69.0,,69.0
576722,9229258314,0,69.0,,69.0
307305949,10975159553,0,68.29552849871774,,68.29552849871774
307305949,576722,0,68.63586288257386,,68.63586288257386
307305949,10975159558,0,66.51767783452391,,66.51767783452391
4279694303,4279694304,0,69.0,,69.0
4279694303,412406841,0,68.59073396082741,,68.59073396082741
4279694303,1242123669,0,68.9717990342022,,68.9717990342022
9229258314,20908383,0,69.0,,69.0
9229258314,576722,0,69.0,,69.0
9229258314,9229258306,0,64.09842404839821,,64.09842404839821
576724,295133661,0,69.0,,69.0
576724,8121560,0,69.0,,69.0
295133661,10939343,0,68.38987793316787,,68.38987793316787
295133661,576724,0,69.0,,69.0
295133661,4459313617,0,69.0,,69.0
8121560,8121562,0,66.93931855495075,,66.93931855495075
8121560,576724,0,69.0,,69.0
8121560,576725,0,69.0,,69.0
576725,282678754,0,69.0,,69.0
576725,8121561,0,68.40565165139343,,68.40565165139343
576725,8121560,0,69.0,,69.0
576725,10939341,0,65.21321062256635,,65.21321062256635
282678754,576725,0,69.0,,69.0
282678754,576726,0,68.9889312547059,,68.9889312547059
8121561,8121562,0,60.994779841304016,,60.994779841304016
8121561,576725,0,68.40565165139344,,68.40565165139344
8121561,8121564,0,67.24741686288736,,67.24741686288736
10939341,2856459545,0,61.03140325513917,,61.03140325513917
10939341,2856459544,0,62.73659586244296,,62.73659586244296
10939341,576725,0,65.21321062256635,,65.21321062256635
576726,10939348,0,67.19445229957986,,67.19445229957986
576726,18165915,0,68.93095287452635,,68.93095287452635
576726,10939966,0,69.0,,69.0
576726,2207118688,0,64.84608681668868,,64.84608681668868
10939348,576726,0,67.19445229957988,,67.19445229957988
10939348,1042960646,0,64.82845985227745,,64.82845985227745
10939348,1042960670,0,57.06154981274765,,57.06154981274765
10939348,279248183,0,59.38039592724722,,59.38039592724722
18165915,18165914,0,62.49369337015162,,62.49369337015162
18165915,4988131384,0,66.8302204155634,,66.8302204155634
18165915,576726,0,68.93095287452635,,68.93095287452635
18165915,792846,0,68.98415575236076,,68.98415575236076
10939966,1042960670,0,62.01180004922455,,62.01180004922455
10939966,282678754,0,68.91703125123101,,68.91703125123101
2207118688,2207118710,0,57.50234045571253,,57.50234045571253
2207118688,576726,0,64.84608681668868,,64.84608681668868
2207118688,4305565630,0,63.50157984772174,,63.50157984772174
576911,4225167458,0,69.0,,69.0
576911,1365954129,0,69.0,,69.0
4225167458,4225167455,0,69.0,,69.0
1365954129,1365954200,0,69.0,,69.0
1365954129,1365954200,1,67.83780633252083,,67.83780633252083
576915,94014530,0,63.15718207740473,,63.15718207740473
576915,93028871,0,69.0,,69.0
94014530,94014531,0,55.07215824766068,,55.07215824766068
94014530,576915,0,63.15718207740472,,63.15718207740472
94014530,266530961,0,59.07645819959392,,59.07645819959392
93028871,1064928826,0,68.99907232589892,,68.99907232589892
93028871,94014531,0,62.5901293350462,,62.5901293350462
654732,1696144157,0,68.87045314703889,,68.87045314703889
654732,1696144153,0,68.88046742467756,,68.88046742467756
654732,1696144154,0,63.93470961360294,,63.93470961360294
1696144157,4513737639,0,68.90858844670366,,68.90858844670366
1696144157,1696144154,0,61.46690444485156,,61.46690444485156
1696144153,654732,0,68.88046742467756,,68.88046742467756
1696144153,8951656689,0,68.89267488338213,,68.89267488338213
1696144154,654732,0,63.93470961360295,,63.93470961360295
1696144154,976512188,0,55.849849590340185,,55.849849590340185
654737,4868490709,0,69.0,,69.0
654737,4868490711,0,69.0,,69.0
654737,523637766,0,68.91218470260247,,68.91218470260247
4868490709,4868490702,0,69.0,,69.0
4868490709,4868490711,0,69.0,,69.0
4868490711,4868490705,0,69.0,,69.0
4868490711,5970323720,0,69.0,,69.0
4868490711,4868490706,0,69.0,,69.0
523637766,4868490696,0,68.88436064567436,,68.88436064567436
523637766,1142637940,0,65.62863361113253,,65.62863361113253
523637766,578983160,0,68.79763246047406,,68.79763246047406
654738,578983064,0,68.96788625415206,,68.96788625415206
654738,271445953,0,55.4764975089135,,55.4764975089135
654738,4868490693,0,68.90684391024315,,68.90684391024315
578983064,1142637940,0,68.32770886076014,,68.32770886076014
578983064,654738,0,68.96788625415206,,68.96788625415206
578983064,3996400290,0,68.98068781166683,,68.98068781166683
271445953,654738,0,55.476497508913496,,55.476497508913496
4868490693,4868490705,0,69.0,,69.0
4868490693,4868490711,0,69.0,,69.0
4868490693,4868490694,0,69.0,,69.0
4868490693,2207169748,0,69.0,,69.0
654739,2584912732,0,67.20499675428638,,67.20499675428638
654739,267030203,0,68.98667136563338,,68.98667136563338
654739,1473298,0,63.80527255155249,,63.80527255155249
654739,2584912750,0,68.98150325357793,,68.98150325357793
2584912732,5001111238,0,60.747843088568914,,60.747843088568914
2584912732,654739,0,67.20499675428638,,67.20499675428638
2584912732,2584912750,0,63.249655410072215,,63.249655410072215
267030203,5001111243,0,65.34654199367324,,65.34654199367324
267030203,654739,0,68.98667136563338,,68.98667136563338
267030203,1210764086,0,68.9862791418075,,68.9862791418075
1473298,9683564990,0,58.42923669430155,,58.42923669430155
1473298,4012217797,0,60.93228412277968,,60.93228412277968
1473298,654739,0,63.8052725515525,,63.8052725515525
2584912750,662891,0,68.97652269782998,,68.97652269782998
2584912750,2584912732,0,63.249655410072215,,63.249655410072215
2584912750,654739,0,68.98150325357793,,68.98150325357793
654740,336470060,0,60.394330340663366,,60.394330340663366
654740,10301065,0,58.2884468120217,,58.2884468120217
654740,1473301,0,57.38933216704921,,57.38933216704921
336470060,654740,0,60.39433034066337,,60.39433034066337
336470060,336470055,0,58.2451541222605,,58.2451541222605
336470060,336470064,0,55.09843088949909,,55.09843088949909
10301065,595789753,0,57.846460592900975,,57.846460592900975
10301065,654740,0,58.288446812021704,,58.288446812021704
10301065,1473295,0,57.217809544514736,,57.217809544514736
1473301,336470064,0,54.408496685112894,,54.408496685112894
1473301,654740,0,57.389332167049204,,57.389332167049204
1473301,9683564990,0,57.36149606344213,,57.36149606344213
662891,2584912756,0,69.0,,69.0
662891,2584912750,0,68.97652269782998,,68.97652269782998
662891,1473296,0,66.16378068174046,,66.16378068174046
2584912756,662891,0,69.0,,69.0
2584912756,8114964602,0,66.6746685420047,,66.6746685420047
2584912756,1473284,0,69.0,,69.0
1473296,9683564986,0,62.74831859715481,,62.74831859715481
1473296,662891,0,66.16378068174046,,66.16378068174046
662892,336470055,0,59.75718589546648,,59.75718589546648
662892,3772034585,0,62.10236945510009,,62.10236945510009
662892,1473299,0,62.486035929162455,,62.486035929162455
336470055,336470060,0,58.245154122260516,,58.245154122260516
336470055,662892,0,59.757185895466485,,59.757185895466485
336470055,336470066,0,56.221773878600196,,56.221773878600196
3772034585,1473295,0,60.77287072556018,,60.77287072556018
3772034585,662892,0,62.102369455100096,,62.102369455100096
3772034585,3772034588,0,57.86105415096849,,57.86105415096849
1473299,9683564986,0,62.80584555338858,,62.80584555338858
1473299,336470066,0,58.12393185301194,,58.12393185301194
1473299,662892,0,62.48603592916245,,62.48603592916245
662902,527803315,0,69.0,,69.0
662902,20974549,0,69.0,,69.0
662902,1036140927,0,68.99910580672963,,68.99910580672963
527803315,662902,0,69.0,,69.0
527803315,527803251,0,67.65364895604662,,67.65364895604662
527803315,9084807560,0,69.0,,69.0
20974549,8655907731,0,69.0,,69.0
20974549,662902,0,69.0,,69.0
20974549,976512194,0,68.99916525018283,,68.99916525018283
1036140927,1248812446,0,68.97909800609567,,68.97909800609567
1036140927,1036141003,0,66.86096090795604,,66.86096090795604
662904,293886031,0,68.99997257756854,,68.99997257756854
662904,250626128,0,68.97554681499537,,68.97554681499537
662904,20937057,0,68.14488247230135,,68.14488247230135
293886031,662904,0,68.99997257756854,,68.99997257756854
293886031,69319621,0,68.99999963456906,,68.99999963456906
20937057,20937070,0,63.15455593029765,,63.15455593029765
20937057,20937044,0,66.96343624603281,,66.96343624603281
20937057,662904,0,68.14488247230135,,68.14488247230135
662908,3910621235,0,68.94539235341276,,68.94539235341276
662908,32359765,0,68.8149980401336,,68.8149980401336
662908,5066122132,0,68.08957033176227,,68.08957033176227
3910621235,662915,0,68.7558097115393,,68.7558097115393
3910621235,662908,0,68.94539235341276,,68.94539235341276
3910621235,3910621243,0,64.07907418208113,,64.07907418208113
32359765,72936980,0,68.85032681247284,,68.85032681247284
32359765,662908,0,68.8149980401336,,68.8149980401336
5066122132,4945875322,0,68.70655749364234,,68.70655749364234
5066122132,662908,0,68.08957033176227,,68.08957033176227
662912,20919924,0,64.32915814546243,,64.32915814546243
662912,3772034599,0,66.72690821811132,,66.72690821811132
